results__members__party,results__members__votes_with_party,results__members__total_votes,results__members__party_votes_pct,results__members__state,results__members__rank,results__members__name
D,431,638,67.77,AL,3,Howell Thomas Heflin
D,462,638,72.41,AL,7,Richard C. Shelby
D,458,638,75.95,OK,11,David Lyle Boren
D,475,638,76,NE,12,J. James Exon
D,503,638,78.96,ND,17,Kent Conrad
D,505,638,79.15,SC,18,Ernest F. Hollings
D,505,638,80.03,LA,19,John B. Breaux
D,496,638,80.26,LA,22,John Bennett Johnston
D,513,638,80.41,IL,23,Alan John Dixon
D,497,638,80.42,NJ,24,William Warren Bradley
D,510,638,80.57,KY,25,Wendell H. Ford
D,502,638,80.58,MT,26,Max Baucus
D,511,638,80.98,IA,28,Tom Harkin
D,518,638,81.19,WV,30,Robert C. Byrd
D,512,638,81.66,AZ,32,Dennis Webster DeConcini
D,515,638,82.4,OH,34,Howard Morton Metzenbaum
D,516,638,82.43,DE,35,Joseph R. Biden Jr.
D,527,638,82.99,FL,40,Bob Graham
D,533,638,83.54,VA,42,Charles S. Robb
D,524,638,83.57,GA,43,Samuel Augustus Nunn
D,518,638,83.82,NM,44,Jeff Bingaman
D,532,638,84.18,MI,46,Carl Levin
D,528,638,84.48,MA,48,John Kerry
D,538,638,84.86,NV,49,Harry Reid
D,538,638,84.86,CT,50,Joseph I. Lieberman
D,541,638,85.06,NV,52,Richard H. Bryan
D,536,638,85.08,IL,53,Paul Martin Simon
D,538,638,85.67,GA,54,Wyche Fowler
D,527,638,85.83,NC,56,James Terry Sanford
D,545,638,86.1,NJ,59,Frank R. Lautenberg
D,538,638,86.22,TX,62,Lloyd Millard Bentsen
D,546,638,86.39,OH,63,John H. Glenn Jr.
D,544,638,86.62,NY,64,Daniel Patrick Moynihan
D,534,638,86.69,RI,65,Claiborne de Borda Pell
D,548,638,86.71,WV,66,John D. Rockefeller IV
D,550,638,86.75,WI,67,Herb Kohl
D,553,638,87.09,ND,68,Quentin Northrup Burdick
D,554,638,87.11,NE,70,J. Robert Kerrey
D,543,638,87.44,HI,72,Daniel K. Inouye
D,215,369,87.76,HI,73,Spark Masayuki Matsunaga
D,545,638,87.76,AR,75,David Hampton Pryor
D,204,234,88.31,HI,82,Daniel K. Akaka
D,546,638,88.35,MA,83,Edward M. Kennedy
D,555,638,88.38,CO,84,Timothy E. Wirth
D,551,638,88.44,TN,85,James Ralph Sasser
D,556,638,88.54,AR,88,Dale Bumpers
D,559,638,88.73,CA,89,Alan Cranston
D,563,638,89.22,WA,91,Brockman Adams
D,558,638,89.28,CT,92,Christopher J. Dodd
D,570,638,89.34,ME,93,George John Mitchell
D,571,638,89.64,VT,94,Patrick J. Leahy
D,558,638,90,MD,95,Barbara A. Mikulski
D,573,638,90.66,SD,97,Thomas A. Daschle
D,554,638,90.67,MI,98,Donald Wayne Riegle
D,575,638,90.69,MD,99,Paul S. Sarbanes
D,552,638,91.39,TN,101,Albert Arnold Gore
R,363,638,61.11,OR,1,Mark Odom Hatfield
R,387,638,65.26,VT,2,James M. Jeffords
R,449,638,70.38,ME,4,William Sebastian Cohen
R,458,638,71.9,PA,5,Arlen Specter
R,446,638,72.17,OR,6,Robert William Packwood
R,461,638,73.17,PA,8,Henry John Heinz
R,454,638,73.94,MN,9,David Ferdinand Durenberger
R,471,638,75.24,RI,10,John H. Chafee
R,483,638,76.3,NY,13,Alfonse M. D'Amato
R,488,638,77.34,NC,14,Jesse Helms
R,480,638,78.18,NH,15,Gordon John Humphrey
R,491,638,78.43,SD,16,Larry Lee Pressler
R,496,638,80.13,NH,20,Warren Bruce Rudman
R,504,638,80.25,DE,21,William V. Roth Jr.
R,508,638,80.89,KS,27,Nancy Landon Kassebaum
R,438,638,81.11,CA,29,Pete Wilson
R,507,638,81.25,AK,31,Ted F. Stevens
R,516,638,81.78,MO,33,John Claggett Danforth
R,524,638,82.91,VA,36,John W. Warner
R,458,638,82.97,CO,37,William Lester Armstrong
R,507,638,82.98,NM,38,Pete V. Domenici
R,517,638,82.99,ID,39,James Albertus McClure
R,492,638,83.53,WY,41,Malcolm Wallop
R,518,638,83.82,ID,45,Steven Douglas Symms
R,538,638,84.46,IA,47,Charles E. Grassley
R,529,638,84.91,FL,51,Connie Mack
R,523,638,85.74,MS,55,Trent Lott
R,547,638,85.87,WI,57,Robert Walter Kasten
R,543,638,86.05,UT,58,Orrin G. Hatch
R,523,638,86.16,MN,60,Rudolph Eli Boschwitz
R,550,638,86.21,WA,61,Slade Gorton
R,540,638,87.1,AZ,69,John McCain
R,548,638,87.4,MO,71,Christopher S. Bond
R,552,638,87.76,OK,74,Don Nickles
R,540,638,87.8,TX,76,Phil Gramm
R,558,638,88.01,KY,77,Mitch McConnell
R,557,638,88.13,MS,78,Thad Cochran
R,536,638,88.16,UT,79,Edwin Jacob Garn
R,544,638,88.17,AK,80,Frank H. Murkowski
R,561,638,88.21,KS,81,Robert Joseph Dole
R,552,638,88.46,IN,86,Richard G. Lugar
R,546,638,88.49,IN,87,Daniel Coats
R,543,638,89.02,WY,90,Alan Kooi Simpson
R,571,638,90.63,MT,96,Conrad Burns
R,578,638,90.74,SC,100,Strom Thurmond
