"status","results__chamber","results__congress","results__offset","results__members__id","results__members__party","results__members__votes_with_party","results__members__total_votes","results__members__party_votes_pct","results__members__state","results__members__rank","results__members__name","results__members__notes","results__members__api_uri","results__num_results","copyright"
"OK","Senate","104","0","C000077","D","56","97","58.95","CO","1","Ben Nighthorse Campbell","","https://api.propublica.org/congress/v1/members/C000077.json","103","Copyright (c) 2018 Pro Publica Inc. All Rights Reserved."
"","","","","H000445","D","604","916","68.02","AL","2","Howell Thomas Heflin","","https://api.propublica.org/congress/v1/members/H000445.json","",""
"","","","","J000072","R","612","916","68.23","VT","3","James M. Jeffords","","https://api.propublica.org/congress/v1/members/J000072.json","",""
"","","","","N000171","D","630","916","71.43","GA","4","Samuel Augustus Nunn","","https://api.propublica.org/congress/v1/members/N000171.json","",""
"","","","","S000709","R","648","916","71.76","PA","5","Arlen Specter","","https://api.propublica.org/congress/v1/members/S000709.json","",""
"","","","","C000598","R","662","916","73.88","ME","6","William Sebastian Cohen","","https://api.propublica.org/congress/v1/members/C000598.json","",""
"","","","","B000243","D","681","916","74.92","MT","7","Max Baucus","","https://api.propublica.org/congress/v1/members/B000243.json","",""
"","","","","J000189","D","672","916","75.93","LA","8","John Bennett Johnston","","https://api.propublica.org/congress/v1/members/J000189.json","",""
"","","","","C000269","R","705","916","77.47","RI","9","John H. Chafee","","https://api.propublica.org/congress/v1/members/C000269.json","",""
"","","","","L000304","D","703","916","77.51","CT","10","Joseph I. Lieberman","","https://api.propublica.org/congress/v1/members/L000304.json","",""
"","","","","B000780","D","708","916","77.97","LA","11","John B. Breaux","","https://api.propublica.org/congress/v1/members/B000780.json","",""
"","","","","H000343","R","662","916","78.25","OR","12","Mark Odom Hatfield","","https://api.propublica.org/congress/v1/members/H000343.json","",""
"","","","","S000663","R","716","916","78.25","ME","13","Olympia J. Snowe","","https://api.propublica.org/congress/v1/members/S000663.json","",""
"","","","","R000146","D","717","916","78.88","NV","14","Harry Reid","","https://api.propublica.org/congress/v1/members/R000146.json","",""
"","","","","H000725","D","715","916","79.44","SC","15","Ernest F. Hollings","","https://api.propublica.org/congress/v1/members/H000725.json","",""
"","","","","E000284","D","718","916","80.31","NE","16","J. James Exon","","https://api.propublica.org/congress/v1/members/E000284.json","",""
"","","","","R000295","D","737","916","80.9","VA","17","Charles S. Robb","","https://api.propublica.org/congress/v1/members/R000295.json","",""
"","","","","B001210","D","745","916","81.33","WV","18","Robert C. Byrd","","https://api.propublica.org/congress/v1/members/B001210.json","",""
"","","","","B000993","D","750","916","82.06","NV","19","Richard H. Bryan","","https://api.propublica.org/congress/v1/members/B000993.json","",""
"","","","","F000062","D","749","916","82.31","CA","20","Dianne Feinstein","","https://api.propublica.org/congress/v1/members/F000062.json","",""
"","","","","F000061","D","759","916","82.95","WI","21","Russ Feingold","","https://api.propublica.org/congress/v1/members/F000061.json","",""
"","","","","G000352","D","758","916","83.11","FL","22","Bob Graham","","https://api.propublica.org/congress/v1/members/G000352.json","",""
"","","","","F000268","D","759","916","83.13","KY","23","Wendell H. Ford","","https://api.propublica.org/congress/v1/members/F000268.json","",""
"","","","","P000009","R","400","480","83.51","OR","24","Robert William Packwood","","https://api.propublica.org/congress/v1/members/P000009.json","",""
"","","","","K000146","D","748","916","83.67","NE","25","J. Robert Kerrey","","https://api.propublica.org/congress/v1/members/K000146.json","",""
"","","","","K000305","D","769","916","84.04","WI","26","Herb Kohl","","https://api.propublica.org/congress/v1/members/K000305.json","",""
"","","","","B000444","D","749","916","84.06","DE","27","Joseph R. Biden Jr.","","https://api.propublica.org/congress/v1/members/B000444.json","",""
"","","","","C000077","R","661","819","84.2","CO","28","Ben Nighthorse Campbell","","https://api.propublica.org/congress/v1/members/C000077.json","",""
"","","","","S000423","D","763","916","84.31","IL","29","Paul Martin Simon","","https://api.propublica.org/congress/v1/members/S000423.json","",""
"","","","","B000468","D","766","916","84.36","NM","30","Jeff Bingaman","","https://api.propublica.org/congress/v1/members/B000468.json","",""
"","","","","M001054","D","748","916","84.62","NY","31","Daniel Patrick Moynihan","","https://api.propublica.org/congress/v1/members/M001054.json","",""
"","","","","K000017","R","726","916","84.71","KS","32","Nancy Landon Kassebaum","","https://api.propublica.org/congress/v1/members/K000017.json","",""
"","","","","M001025","D","774","916","85.52","IL","33","Carol Moseley-Braun","","https://api.propublica.org/congress/v1/members/M001025.json","",""
"","","","","B001225","D","718","916","85.89","NJ","34","William Warren Bradley","","https://api.propublica.org/congress/v1/members/B001225.json","",""
"","","","","B000919","R","788","916","86.03","CO","35","Hank Brown","","https://api.propublica.org/congress/v1/members/B000919.json","",""
"","","","","D000432","D","783","916","86.42","ND","36","Byron L. Dorgan","","https://api.propublica.org/congress/v1/members/D000432.json","",""
"","","","","I000025","D","752","916","86.44","HI","37","Daniel K. Inouye","","https://api.propublica.org/congress/v1/members/I000025.json","",""
"","","","","M000303","R","765","916","86.44","AZ","38","John McCain","","https://api.propublica.org/congress/v1/members/M000303.json","",""
"","","","","R000460","R","781","916","86.49","DE","39","William V. Roth Jr.","","https://api.propublica.org/congress/v1/members/R000460.json","",""
"","","","","C000705","D","781","916","86.68","ND","40","Kent Conrad","","https://api.propublica.org/congress/v1/members/C000705.json","",""
"","","","","D000388","D","789","916","86.8","CT","41","Christopher J. Dodd","","https://api.propublica.org/congress/v1/members/D000388.json","",""
"","","","","P000193","D","782","916","87.08","RI","42","Claiborne de Borda Pell","","https://api.propublica.org/congress/v1/members/P000193.json","",""
"","","","","G000236","D","787","916","87.15","OH","43","John H. Glenn Jr.","","https://api.propublica.org/congress/v1/members/G000236.json","",""
"","","","","H000206","D","802","916","88.13","IA","44","Tom Harkin","","https://api.propublica.org/congress/v1/members/H000206.json","",""
"","","","","W000288","D","806","916","88.18","MN","45","Paul D. Wellstone","","https://api.propublica.org/congress/v1/members/W000288.json","",""
"","","","","W000779","D","261","295","88.47","OR","46","Ron Wyden","","https://api.propublica.org/congress/v1/members/W000779.json","",""
"","","","","G000333","R","810","916","88.52","WA","47","Slade Gorton","","https://api.propublica.org/congress/v1/members/G000333.json","",""
"","","","","D000294","R","811","916","88.73","OH","48","Michael DeWine","","https://api.propublica.org/congress/v1/members/D000294.json","",""
"","","","","R000361","D","789","916","88.95","WV","49","John D. Rockefeller IV","","https://api.propublica.org/congress/v1/members/R000361.json","",""
"","","","","S000429","R","791","916","89.28","WY","50","Alan Kooi Simpson","","https://api.propublica.org/congress/v1/members/S000429.json","",""
"","","","","M000702","D","786","916","89.32","MD","51","Barbara A. Mikulski","","https://api.propublica.org/congress/v1/members/M000702.json","",""
"","","","","L000123","D","812","916","89.43","NJ","52","Frank R. Lautenberg","","https://api.propublica.org/congress/v1/members/L000123.json","",""
"","","","","B000711","D","805","916","89.44","CA","53","Barbara Boxer","","https://api.propublica.org/congress/v1/members/B000711.json","",""
"","","","","D000018","R","810","916","89.7","NY","54","Alfonse M. D'Amato","","https://api.propublica.org/congress/v1/members/D000018.json","",""
"","","","","L000174","D","801","916","89.8","VT","55","Patrick J. Leahy","","https://api.propublica.org/congress/v1/members/L000174.json","",""
"","","","","B001057","D","788","916","89.85","AR","56","Dale Bumpers","","https://api.propublica.org/congress/v1/members/B001057.json","",""
"","","","","K000148","D","819","916","90.2","MA","57","John Kerry","","https://api.propublica.org/congress/v1/members/K000148.json","",""
"","","","","T000457","R","818","916","90.29","TN","58","Fred Thompson","","https://api.propublica.org/congress/v1/members/T000457.json","",""
"","","","","M001111","D","819","916","90.3","WA","59","Patty Murray","","https://api.propublica.org/congress/v1/members/M001111.json","",""
"","","","","F000437","R","802","916","90.42","NC","60","Lauch Faircloth","","https://api.propublica.org/congress/v1/members/F000437.json","",""
"","","","","G000386","R","829","916","90.5","IA","61","Charles E. Grassley","","https://api.propublica.org/congress/v1/members/G000386.json","",""
"","","","","K000105","D","807","916","90.67","MA","62","Edward M. Kennedy","","https://api.propublica.org/congress/v1/members/K000105.json","",""
"","","","","P000556","D","767","916","90.88","AR","63","David Hampton Pryor","","https://api.propublica.org/congress/v1/members/P000556.json","",""
"","","","","G000445","R","819","916","91.0","NH","64","Judd Gregg","","https://api.propublica.org/congress/v1/members/G000445.json","",""
"","","","","S000320","R","812","916","91.13","AL","65","Richard C. Shelby","","https://api.propublica.org/congress/v1/members/S000320.json","",""
"","","","","S000606","R","825","916","91.16","NH","66","Bob Smith","","https://api.propublica.org/congress/v1/members/S000606.json","",""
"","","","","K000352","R","825","916","91.16","AZ","67","Jon Kyl","","https://api.propublica.org/congress/v1/members/K000352.json","",""
"","","","","L000504","R","808","916","91.2","IN","68","Richard G. Lugar","","https://api.propublica.org/congress/v1/members/L000504.json","",""
"","","","","S000888","R","809","916","91.21","AK","69","Ted F. Stevens","","https://api.propublica.org/congress/v1/members/S000888.json","",""
"","","","","D000064","D","834","916","91.25","SD","70","Thomas A. Daschle","","https://api.propublica.org/congress/v1/members/D000064.json","",""
"","","","","B000611","R","816","916","91.48","MO","71","Christopher S. Bond","","https://api.propublica.org/congress/v1/members/B000611.json","",""
"","","","","L000261","D","837","916","91.68","MI","72","Carl Levin","","https://api.propublica.org/congress/v1/members/L000261.json","",""
"","","","","M000019","R","807","916","91.7","FL","73","Connie Mack","","https://api.propublica.org/congress/v1/members/M000019.json","",""
"","","","","H000463","R","808","916","92.03","NC","74","Jesse Helms","","https://api.propublica.org/congress/v1/members/H000463.json","",""
"","","","","A000069","D","834","916","92.26","HI","75","Daniel K. Akaka","","https://api.propublica.org/congress/v1/members/A000069.json","",""
"","","","","C000567","R","825","916","92.28","MS","76","Thad Cochran","","https://api.propublica.org/congress/v1/members/C000567.json","",""
"","","","","S000064","D","840","916","92.31","MD","77","Paul S. Sarbanes","","https://api.propublica.org/congress/v1/members/S000064.json","",""
"","","","","A000355","R","848","916","92.58","MI","78","Spencer Abraham","","https://api.propublica.org/congress/v1/members/A000355.json","",""
"","","","","D000407","R","831","916","92.64","NM","79","Pete V. Domenici","","https://api.propublica.org/congress/v1/members/D000407.json","",""
"","","","","F000438","R","128","145","92.75","KS","80","Sheila Frahm","","https://api.propublica.org/congress/v1/members/F000438.json","",""
"","","","","A000356","R","837","916","92.79","MO","81","John Ashcroft","","https://api.propublica.org/congress/v1/members/A000356.json","",""
